Overall F1 Rank,Model,Full Model Name,Model Family,Scaling_Used,accuracy,precision,recall,f1,roc_auc,at_risk_precision,at_risk_recall,at_risk_f1
1,DTC,Decision Tree Classifier,Tree-based,False,0.9113924050632912,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.9099002849002849,0.9411764705882352,0.9230769230769232,0.9320388349514565
2,LR,Logistic Regression,Linear,True,0.8987341772151899,0.8275862068965517,0.8888888888888888,0.8571428571428571,0.9736467236467236,,,
3,RFC,Random Forest Classifier,Ensemble,False,0.8987341772151899,0.8275862068965517,0.8888888888888888,0.8571428571428571,0.9604700854700856,0.94,0.903846153846154,0.9215686274509804
4,AdaBoost,AdaBoost Classifier,Boosting,False,0.8987341772151899,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.9729344729344728,0.9230769230769232,0.9230769230769232,0.9230769230769232
5,GradBoost,Gradient Boosting Classifier,Boosting,False,0.8607594936708861,0.7857142857142857,0.8148148148148148,0.8,0.9608262108262108,0.9019607843137256,0.8846153846153846,0.8932038834951457
6,MLPC,Multi-Layer Perceptron Classifier,Neural Network,True,0.8734177215189873,0.8695652173913043,0.7407407407407407,0.8,0.9423076923076923,0.875,0.9423076923076923,0.9074074074074074
7,SVM,Support Vector Machine,Maximum-margin,True,0.8354430379746836,0.7916666666666666,0.7037037037037037,0.7450980392156863,0.9387464387464388,0.8545454545454545,0.903846153846154,0.8785046728971962
8,NB,Gaussian Naive Bayes,Probabilistic,True,0.8227848101265823,0.76,0.7037037037037037,0.7307692307692307,0.9002849002849003,0.8518518518518519,0.8846153846153846,0.8679245283018868
9,KNN,K-Nearest Neighbors,Instance-based,True,0.7468354430379747,0.7058823529411765,0.4444444444444444,0.5454545454545454,0.7393162393162394,0.7580645161290323,0.903846153846154,0.8245614035087719
