Scenario,MAE,RMSE,R2
Full-Information (With G1 & G2),1.1706329113924052,1.97473322451841,0.8098238322966482
Early-Warning (Excluding G1 & G2),3.0726582278481005,3.8588969660584898,0.27378437123398514
